doctor_name,gender,specialty,experience,availability,hospital,city,latitude,longitude,emergency_available
Dr. Fatima Raza,Male,Dermatologist,13 years,Mon-Fri,Divisional Hospital Valvettithurai,,,,yes
Dr. Amna Chaudhry,Male,Dermatologist,17 years,Tue-Thu,Divisional Hospital Valvettithurai,,,,yes
Dr. Ali Hussain,Female,Neurologist,14 years,Mon-Fri,Police Hospital,,7.27982745262031,80.6821380424803,
Dr. Sara Ahmed,Female,Cardiologist,14 years,Weekends,Police Hospital,,7.27982745262031,80.6821380424803,
Dr. Zain Ahmed,Female,Cardiologist,5 years,Mon-Fri,Bibile District Hospital,,,,
Dr. Ali Hussain,Female,Cardiologist,11 years,Tue-Thu,Bibile District Hospital,,,,
Dr. Ali Chaudhry,Male,Cardiologist,14 years,Everyday,Ayurbedic Hospital,,,,
Dr. Bilal Raza,Male,Pediatrician,9 years,Weekends,Ayurbedic Hospital,,,,
Dr. Fatima Hussain,Female,Pediatrician,19 years,Mon-Fri,Ayurbedic Hospital,,,,
Dr. Sara Ahmed,Male,Pediatrician,17 years,Mon-Fri,Ambalangoda Districut Hospital,,6.2491337369392,80.0625084487683,
Dr. Ayesha Raza,Male,Pediatrician,9 years,Weekends,Ambalangoda Districut Hospital,,6.2491337369392,80.0625084487683,
Dr. Ali Sheikh,Female,Cardiologist,10 years,Weekends,Cancer Unit Karapitiya,,,,no
Dr. Bilal Malik,Male,Neurologist,20 years,Everyday,Cancer Unit Karapitiya,,,,no
Dr. Fatima Hussain,Male,Orthopedic Surgeon,10 years,Everyday,Welimada Base Hospital,,6.90903217279165,80.9087118655535,yes
Dr. Amna Hussain,Female,Pediatrician,8 years,Mon-Fri,Eravur Base Hospital,,,,
Dr. Ali Ahmed,Female,Dermatologist,16 years,Tue-Thu,Ideal Hospital,Nuwara Eliya,6.97234923700245,80.768161347112,
Dr. Sara Hussain,Female,Orthopedic Surgeon,9 years,Weekends,Ideal Hospital,Nuwara Eliya,6.97234923700245,80.768161347112,
Dr. Amna Khan,Female,Cardiologist,5 years,Mon-Fri,Joseph Fraser Memorial Hospital,,,,
Dr. Bilal Chaudhry,Male,Neurologist,11 years,Tue-Thu,Castle Street Hospital for Women,Colombo 08,6.91075524062703,79.8847059865956,yes
Dr. Omar Chaudhry,Male,Pediatrician,16 years,Tue-Thu,Castle Street Hospital for Women,Colombo 08,6.91075524062703,79.8847059865956,yes
Dr. Fatima Khan,Female,Dermatologist,5 years,Mon-Fri,Castle Street Hospital for Women,Colombo 08,6.91075524062703,79.8847059865956,yes
Dr. Fatima Hussain,Female,Cardiologist,18 years,Mon-Fri,Browns Hospital,,7.02777448791826,79.9206151494383,yes
Dr. Sara Hussain,Male,Orthopedic Surgeon,18 years,Tue-Thu,Primary Medical Care Unit Mulliyan,,,,no
Dr. Amna Ahmed,Female,Dermatologist,17 years,Mon-Fri,Rural Hospital Mavadybempu,,,,
Dr. Fatima Hussain,Male,Cardiologist,19 years,Mon-Fri,Rural Hospital Mavadybempu,,,,
Dr. Sara Malik,Male,Pediatrician,19 years,Weekends,Rural Hospital Mavadybempu,,,,
Dr. Amna Sheikh,Male,Pediatrician,7 years,Tue-Thu,Madampagama Rural Hospital,Ambalangoda,6.21316254801297,80.0638203842529,
Dr. Zain Malik,Male,Pediatrician,15 years,Everyday,Madampagama Rural Hospital,Ambalangoda,6.21316254801297,80.0638203842529,
Dr. Omar Chaudhry,Female,Neurologist,16 years,Everyday,Base hospital kaluwanchikudi,,,,
Dr. Fatima Khan,Female,Cardiologist,11 years,Everyday,Nawaloka Hospital,,,,yes
Dr. Fatima Sheikh,Male,Pediatrician,11 years,Tue-Thu,Nawaloka Hospital,,,,yes
Dr. Zain Khan,Female,Orthopedic Surgeon,13 years,Weekends,Nawaloka Hospital,,,,yes
Dr. Sara Chaudhry,Female,Dermatologist,19 years,Tue-Thu,Matara General Hospital (SP),Matara,,,yes
Dr. Bilal Ahmed,Male,Neurologist,5 years,Everyday,Matara General Hospital (SP),Matara,,,yes
Dr. Ayesha Ahmed,Male,Neurologist,19 years,Tue-Thu,Matara General Hospital (SP),Matara,,,yes
Dr. Zain Hussain,Male,Neurologist,11 years,Mon-Fri,hablagosh hospital,hablagosh,,,
Dr. Zain Khan,Female,Dermatologist,10 years,Everyday,hablagosh hospital,hablagosh,,,
Dr. Ali Khan,Male,Cardiologist,11 years,Tue-Thu,Ankumbura Ayurweda Dispensary,,7.43609848192085,80.5736345573562,
Dr. Amna Chaudhry,Female,Neurologist,10 years,Everyday,Ankumbura Ayurweda Dispensary,,7.43609848192085,80.5736345573562,
Dr. Zain Ahmed,Female,Pediatrician,20 years,Mon-Fri,Ankumbura Ayurweda Dispensary,,7.43609848192085,80.5736345573562,
Dr. Bilal Malik,Male,Cardiologist,9 years,Tue-Thu,Park Hospital,,6.88721114516488,79.8725350440924,
Dr. Ali Malik,Male,Dermatologist,5 years,Weekends,Ambalantota Hospital,,6.11470343273785,81.0220544748368,
Dr. Zain Khan,Male,Neurologist,17 years,Tue-Thu,Ambalantota Hospital,,6.11470343273785,81.0220544748368,
Dr. Fatima Malik,Female,Pediatrician,6 years,Everyday,Ambalantota Hospital,,6.11470343273785,81.0220544748368,
Dr. Bilal Sheikh,Female,Pediatrician,5 years,Mon-Fri,Northern Central Hospital,Jaffna,9.68176565877113,80.0246534271038,
Dr. Ali Malik,Male,Pediatrician,15 years,Everyday,Northern Central Hospital,Jaffna,9.68176565877113,80.0246534271038,
Dr. Ali Sheikh,Male,Cardiologist,12 years,Mon-Fri,Northern Central Hospital,Jaffna,9.68176565877113,80.0246534271038,
Dr. Fatima Khan,Female,Orthopedic Surgeon,18 years,Weekends,hospital,,,,
Dr. Fatima Malik,Female,Dermatologist,9 years,Everyday,hospital,,,,
Dr. Ayesha Ahmed,Male,Dermatologist,17 years,Weekends,Rukkasagara Ayuruwedic hospital,,7.43322633897941,80.1354937868326,
Dr. Ayesha Hussain,Female,Neurologist,14 years,Everyday,Divisional Hospital Gurunagar,,9.65258925965253,80.0195766759896,
Dr. Amna Ahmed,Male,Dermatologist,20 years,Weekends,Suwasewana Hospital,Kandy,7.28195209743672,80.6215993277144,
Dr. Ayesha Raza,Female,Orthopedic Surgeon,16 years,Mon-Fri,Suwasewana Hospital,Kandy,7.28195209743672,80.6215993277144,
Dr. Amna Raza,Female,Cardiologist,5 years,Everyday,Suwasewana Hospital,Kandy,7.28195209743672,80.6215993277144,
Dr. Sara Chaudhry,Male,Pediatrician,16 years,Weekends,Padukka Base Hospital,,6.84005522846294,80.089659528623,
Dr. Omar Ahmed,Male,Pediatrician,6 years,Weekends,Padukka Base Hospital,,6.84005522846294,80.089659528623,
Dr. Bilal Raza,Male,Cardiologist,18 years,Weekends,Padukka Base Hospital,,6.84005522846294,80.089659528623,
Dr. Sara Khan,Female,Neurologist,13 years,Everyday,Rajagiriya Ayurvedic Hospital,Colombo 9,,,
Dr. Omar Sheikh,Male,Cardiologist,7 years,Everyday,Puliyankulam Divisional Hospital,Puliyankulam,8.9646043235511,80.5258697792078,
Dr. Ayesha Sheikh,Female,Cardiologist,10 years,Mon-Fri,Madawakkulama,,,,
Dr. Bilal Khan,Male,Cardiologist,16 years,Weekends,Base Hospital,,6.64512342514584,80.1789288928967,
Dr. Ayesha Raza,Female,Orthopedic Surgeon,7 years,Weekends,Base Hospital,,6.64512342514584,80.1789288928967,
Dr. Zain Ahmed,Male,Pediatrician,13 years,Mon-Fri,Vaddakkachchi Hospital,,,,
Dr. Amna Ahmed,Female,Orthopedic Surgeon,5 years,Weekends,Vaddakkachchi Hospital,,,,
Dr. Sara Raza,Female,Neurologist,10 years,Everyday,Vaddakkachchi Hospital,,,,
Dr. Sara Ahmed,Female,Pediatrician,10 years,Everyday,Kiriella Hospital,,,,
Dr. Ayesha Chaudhry,Male,Neurologist,15 years,Everyday,Kiriella Hospital,,,,
Dr. Bilal Raza,Female,Dermatologist,18 years,Mon-Fri,Kiriella Hospital,,,,
Dr. Fatima Raza,Male,Neurologist,9 years,Weekends,Medamahanuwara Divisional Hospital,,7.28974592628359,80.8151702452323,
Dr. Fatima Hussain,Female,Dermatologist,19 years,Mon-Fri,Medamahanuwara Divisional Hospital,,7.28974592628359,80.8151702452323,
Dr. Ayesha Malik,Male,Orthopedic Surgeon,15 years,Everyday,Medamahanuwara Divisional Hospital,,7.28974592628359,80.8151702452323,
Dr. Fatima Malik,Male,Orthopedic Surgeon,17 years,Tue-Thu,Kosgoda Hospital,,,,
Dr. Sara Chaudhry,Female,Neurologist,7 years,Tue-Thu,Diyatalawa Base Hospital,,6.80557325227355,80.957134287825,
Dr. Ali Khan,Female,Cardiologist,18 years,Everyday,Mohotti Private Hostpital,Matara,5.94823397420802,80.5466442424043,
Dr. Amna Chaudhry,Female,Pediatrician,19 years,Everyday,Mohotti Private Hostpital,Matara,5.94823397420802,80.5466442424043,
Dr. Omar Hussain,Female,Orthopedic Surgeon,20 years,Mon-Fri,Mohotti Private Hostpital,Matara,5.94823397420802,80.5466442424043,
Dr. Ayesha Raza,Male,Orthopedic Surgeon,9 years,Mon-Fri,Wilgamuwa Divisional Hospital,,7.54034865409852,80.914333440374,
Dr. Zain Hussain,Female,Cardiologist,16 years,Weekends,Wilgamuwa Divisional Hospital,,7.54034865409852,80.914333440374,
Dr. Ali Ahmed,Male,Dermatologist,9 years,Weekends,Wilgamuwa Divisional Hospital,,7.54034865409852,80.914333440374,
Dr. Omar Khan,Male,Neurologist,9 years,Weekends,Base Hospital Mallavi,,9.13460826301113,80.3087491503526,
Dr. Ayesha Ahmed,Male,Cardiologist,17 years,Tue-Thu,darmaraja general hospital,,,,
Dr. Fatima Sheikh,Male,Neurologist,19 years,Mon-Fri,Navatkadu Rural Hospital,,,,
Dr. Ali Sheikh,Male,Pediatrician,16 years,Mon-Fri,Navatkadu Rural Hospital,,,,
Dr. Omar Sheikh,Male,Pediatrician,9 years,Weekends,Mahaoya Base Hospital,,7.53095363028845,81.3555797898425,
Dr. Omar Raza,Female,Cardiologist,13 years,Mon-Fri,Divisional Hospital Murunkan,,8.83667653219371,80.03782047498,
Dr. Sara Khan,Male,Orthopedic Surgeon,20 years,Everyday,Divisional Hospital Murunkan,,8.83667653219371,80.03782047498,
Dr. Ayesha Chaudhry,Female,Cardiologist,16 years,Tue-Thu,Base Hospital,Eheliyagoda,6.84824585660604,80.2643707449053,
Dr. Sara Ahmed,Male,Pediatrician,8 years,Mon-Fri,Divisional Hospital Kathiravelly,,,,
Dr. Omar Sheikh,Female,Orthopedic Surgeon,9 years,Weekends,Divisional Hospital Kathiravelly,,,,
Dr. Bilal Raza,Male,Cardiologist,18 years,Everyday,Divisional Hospital Kathiravelly,,,,
Dr. Ayesha Chaudhry,Male,Orthopedic Surgeon,11 years,Mon-Fri,Boralanda Base Hospital,,6.82956837794546,80.8955210968913,yes
Dr. Amna Hussain,Male,Pediatrician,12 years,Weekends,Maththiya Marunthakam Nediyamadu,,,,
Dr. Zain Chaudhry,Male,Pediatrician,8 years,Mon-Fri,Maththiya Marunthakam Nediyamadu,,,,
Dr. Omar Malik,Female,Dermatologist,17 years,Weekends,Maththiya Marunthakam Nediyamadu,,,,
Dr. Zain Hussain,Male,Pediatrician,19 years,Mon-Fri,Odent Dental Surgery,Maharagama,6.84492754495867,79.9308042747551,
Dr. Ayesha Ahmed,Female,Pediatrician,16 years,Tue-Thu,Odent Dental Surgery,Maharagama,6.84492754495867,79.9308042747551,
Dr. Sara Chaudhry,Male,Dermatologist,14 years,Weekends,Pottuvil Base Hospital,,,,
Dr. Amna Khan,Female,Pediatrician,18 years,Tue-Thu,Pottuvil Base Hospital,,,,
Dr. Ali Chaudhry,Male,Orthopedic Surgeon,5 years,Everyday,Pottuvil Base Hospital,,,,
Dr. Omar Hussain,Male,Pediatrician,11 years,Weekends,MOH Office,,,,
Dr. Zain Chaudhry,Female,Neurologist,8 years,Tue-Thu,MOH Office,,,,
Dr. Fatima Chaudhry,Male,Dermatologist,6 years,Everyday,MOH Office,,,,
Dr. Ayesha Chaudhry,Male,Dermatologist,20 years,Mon-Fri,Base Hospital -Horana,,,,yes
Dr. Amna Malik,Female,Dermatologist,15 years,Mon-Fri,Base Hospital -Horana,,,,yes
Dr. Amna Malik,Female,Cardiologist,6 years,Everyday,Base Hospital -Horana,,,,yes
Dr. Sara Malik,Female,Pediatrician,11 years,Tue-Thu,Hanguranketha Dinisional Hospital,,,,
Dr. Omar Ahmed,Male,Neurologist,19 years,Weekends,Hanguranketha Dinisional Hospital,,,,
Dr. Fatima Sheikh,Female,Pediatrician,14 years,Weekends,Maha Wilachchiya Divisional Hospital,,,,
Dr. Omar Raza,Male,Dermatologist,14 years,Mon-Fri,Maha Wilachchiya Divisional Hospital,,,,
Dr. Amna Chaudhry,Male,Orthopedic Surgeon,13 years,Weekends,Mamaduwa Divisional Hospital,Mamaduwa,,,
Dr. Zain Hussain,Female,Neurologist,8 years,Mon-Fri,Mamaduwa Divisional Hospital,Mamaduwa,,,
Dr. Zain Raza,Male,Dermatologist,11 years,Everyday,Bogahakumbura Base Hospital,,6.86230859465539,80.8756759352996,yes
Dr. Zain Raza,Male,Neurologist,15 years,Weekends,Bogahakumbura Base Hospital,,6.86230859465539,80.8756759352996,yes
Dr. Bilal Hussain,Female,Pediatrician,17 years,Everyday,Bogahakumbura Base Hospital,,6.86230859465539,80.8756759352996,yes
Dr. Fatima Raza,Male,Neurologist,11 years,Everyday,Panadura Nursing Home,,6.70576649460622,79.9058879779244,
Dr. Sara Raza,Male,Orthopedic Surgeon,6 years,Everyday,Panchenai Hospitel,,,,
Dr. Sara Ahmed,Female,Pediatrician,19 years,Everyday,Panchenai Hospitel,,,,
Dr. Ayesha Chaudhry,Female,Dermatologist,8 years,Mon-Fri,Gallinda Base Hospital,,6.24510019749403,80.2678823432399,
Dr. Bilal Raza,Male,Dermatologist,5 years,Mon-Fri,Gallinda Base Hospital,,6.24510019749403,80.2678823432399,
Dr. Bilal Ahmed,Male,Pediatrician,18 years,Tue-Thu,Gallinda Base Hospital,,6.24510019749403,80.2678823432399,
Dr. Omar Malik,Female,Dermatologist,11 years,Tue-Thu,Padaviya Base Hospital,,,,
Dr. Ali Hussain,Male,Dermatologist,14 years,Tue-Thu,Padaviya Base Hospital,,,,
Dr. Omar Khan,Female,Pediatrician,14 years,Tue-Thu,Akkaraipattu Base Hospital,,,,
Dr. Zain Malik,Male,Dermatologist,7 years,Weekends,Akkaraipattu Base Hospital,,,,
Dr. Fatima Chaudhry,Male,Cardiologist,5 years,Everyday,Akkaraipattu Base Hospital,,,,
Dr. Sara Hussain,Female,Dermatologist,10 years,Everyday,District Hospital Passara,,6.93357237362693,81.1524923947375,
Dr. Ayesha Sheikh,Female,Orthopedic Surgeon,13 years,Mon-Fri,District Hospital Passara,,6.93357237362693,81.1524923947375,
Dr. Zain Ahmed,Male,Pediatrician,8 years,Weekends,Primary Care Hospital,,7.32584116737678,80.5057538821436,
Dr. Fatima Malik,Male,Dermatologist,8 years,Mon-Fri,Primary Care Hospital,,7.32584116737678,80.5057538821436,
Dr. Zain Ahmed,Male,Neurologist,15 years,Tue-Thu,Primary Care Hospital,,7.32584116737678,80.5057538821436,
Dr. Ayesha Sheikh,Female,Orthopedic Surgeon,20 years,Mon-Fri,Pimbura Distric Hospital,,,,
Dr. Bilal Ahmed,Male,Neurologist,5 years,Tue-Thu,Pimbura Distric Hospital,,,,
Dr. Ali Hussain,Male,Neurologist,18 years,Weekends,Pimbura Distric Hospital,,,,
Dr. Ayesha Khan,Female,Pediatrician,5 years,Tue-Thu,Horowpotana Divisional Hospital,,,,
Dr. Zain Ahmed,Female,Cardiologist,7 years,Everyday,Horowpotana Divisional Hospital,,,,
Dr. Amna Malik,Female,Orthopedic Surgeon,6 years,Tue-Thu,Horowpotana Divisional Hospital,,,,
Dr. Ayesha Sheikh,Male,Neurologist,18 years,Mon-Fri,Ayurveda Central Hospital,,7.56610867330267,81.0416684635389,
Dr. Fatima Chaudhry,Male,Cardiologist,19 years,Mon-Fri,Ayurveda Central Hospital,,7.56610867330267,81.0416684635389,
Dr. Ayesha Khan,Female,Neurologist,12 years,Everyday,Ayurveda Central Hospital,,7.56610867330267,81.0416684635389,
Dr. Bilal Khan,Male,Neurologist,14 years,Weekends,Rawana Arana,Sri Jayawadhanapura Kotte,6.88542965546438,79.8990977981635,
Dr. Fatima Khan,Female,Neurologist,8 years,Mon-Fri,gampaha,,7.05322362233369,80.3289830646135,
Dr. Zain Raza,Male,Dermatologist,16 years,Tue-Thu,Ayurveda Corporation,Nawinna,6.85588394969193,79.9176996720574,
Dr. Ali Khan,Male,Cardiologist,17 years,Tue-Thu,Ayurveda Corporation,Nawinna,6.85588394969193,79.9176996720574,
Dr. Fatima Khan,Female,Orthopedic Surgeon,18 years,Mon-Fri,Ayurveda Corporation,Nawinna,6.85588394969193,79.9176996720574,
Dr. Ayesha Chaudhry,Male,Pediatrician,15 years,Everyday,Poonakary Divisional Hospital,,9.50757319847625,80.2080661485276,
Dr. Amna Malik,Male,Orthopedic Surgeon,8 years,Everyday,Kandy Nursing Home,,7.29102827365011,80.6450196224667,
Dr. Ayesha Hussain,Female,Pediatrician,6 years,Tue-Thu,Kandy Nursing Home,,7.29102827365011,80.6450196224667,
Dr. Ayesha Ahmed,Female,Pediatrician,18 years,Everyday,National Institute of Infectious Diseases,,,,
Dr. Ayesha Sheikh,Female,Neurologist,10 years,Tue-Thu,Hospital,,,,
Dr. Ayesha Raza,Male,Dermatologist,16 years,Tue-Thu,Hospital,,,,
Dr. Amna Sheikh,Male,Orthopedic Surgeon,8 years,Tue-Thu,Hospital,,,,
Dr. Omar Malik,Female,Neurologist,10 years,Tue-Thu,Aloka Hospital,Rathnapura,6.68217529284823,80.4034418574367,
Dr. Ali Chaudhry,Female,Pediatrician,7 years,Everyday,Aloka Hospital,Rathnapura,6.68217529284823,80.4034418574367,
Dr. Sara Sheikh,Female,Pediatrician,18 years,Weekends,Western Dispensary,,6.91305188209657,79.8842194171164,
Dr. Ali Malik,Male,Pediatrician,12 years,Weekends,Western Dispensary,,6.91305188209657,79.8842194171164,
Dr. Ali Hussain,Female,Neurologist,6 years,Tue-Thu,Western Dispensary,,6.91305188209657,79.8842194171164,
Dr. Bilal Malik,Male,Cardiologist,19 years,Mon-Fri,Meegalewa Hospital,,,,
Dr. Amna Malik,Male,Orthopedic Surgeon,5 years,Tue-Thu,Meegalewa Hospital,,,,
Dr. Ali Raza,Female,Orthopedic Surgeon,7 years,Weekends,Keppetipola Dispensary,,6.89616762780093,80.8743926659238,
Dr. Ali Ahmed,Female,Dermatologist,18 years,Weekends,Keppetipola Dispensary,,6.89616762780093,80.8743926659238,
Dr. Ayesha Khan,Female,Pediatrician,18 years,Mon-Fri,Thirukkovil base Hospital,,,,
Dr. Zain Raza,Male,Dermatologist,5 years,Weekends,Thirukkovil base Hospital,,,,
Dr. Fatima Sheikh,Male,Pediatrician,9 years,Everyday,Thirukkovil base Hospital,,,,
Dr. Omar Chaudhry,Female,Pediatrician,5 years,Everyday,Kamburupitiya Base Hospital,Andapana,6.09573418002782,80.5647206547883,
Dr. Bilal Chaudhry,Male,Pediatrician,18 years,Tue-Thu,Vinus Hospital,Avissawella,,,
Dr. Amna Sheikh,Male,Cardiologist,20 years,Tue-Thu,Base Hospital,Kalawana,6.53060785233251,80.3974001816293,
Dr. Bilal Ahmed,Female,Pediatrician,7 years,Weekends,Northern Central Hospital,Jaffna,,,
Dr. Sara Hussain,Male,Cardiologist,19 years,Weekends,Northern Central Hospital,Jaffna,,,
Dr. Fatima Ahmed,Female,Pediatrician,17 years,Mon-Fri,Neurology Ward,,6.91927745685967,79.8704189488172,
Dr. Zain Ahmed,Female,Cardiologist,18 years,Weekends,Ayurvedic Hospital,,,,
Dr. Amna Malik,Male,Orthopedic Surgeon,8 years,Mon-Fri,Panadura Hospital,,6.72161306928896,79.9066032895412,
Dr. Bilal Khan,Female,Pediatrician,16 years,Weekends,Panadura Hospital,,6.72161306928896,79.9066032895412,
Dr. Fatima Sheikh,Female,Dermatologist,14 years,Everyday,Panadura Hospital,,6.72161306928896,79.9066032895412,
Dr. Bilal Chaudhry,Male,Pediatrician,8 years,Tue-Thu,District General Hospital Killinochchi,,9.37274416714098,80.4114280509614,
Dr. Ali Chaudhry,Female,Dermatologist,7 years,Mon-Fri,District General Hospital Killinochchi,,9.37274416714098,80.4114280509614,
Dr. Amna Ahmed,Male,Dermatologist,13 years,Mon-Fri,Polgahawela Base Hospital,,,,
Dr. Zain Ahmed,Male,Neurologist,10 years,Weekends,Kirama,,6.20671057804515,80.668437318829,
Dr. Ayesha Khan,Male,Neurologist,10 years,Everyday,Kirama,,6.20671057804515,80.668437318829,
Dr. Sara Sheikh,Male,Orthopedic Surgeon,13 years,Mon-Fri,Suwa Medura,,6.71804363582251,79.9082363357365,
Dr. Ayesha Malik,Male,Neurologist,13 years,Tue-Thu,Suwa Medura,,6.71804363582251,79.9082363357365,
Dr. Ayesha Chaudhry,Female,Cardiologist,14 years,Everyday,Suwa Medura,,6.71804363582251,79.9082363357365,
Dr. Omar Hussain,Male,Cardiologist,18 years,Weekends,Hiripitiya Divisional Hospital,Hiripitiya,,,
Dr. Bilal Malik,Male,Orthopedic Surgeon,5 years,Everyday,Hiripitiya Divisional Hospital,Hiripitiya,,,
Dr. Omar Raza,Female,Orthopedic Surgeon,15 years,Tue-Thu,Hiripitiya Divisional Hospital,Hiripitiya,,,
Dr. Fatima Khan,Male,Neurologist,13 years,Everyday,Divisional Hospital Nainativu,,9.60488801633011,79.7730664962182,
Dr. Bilal Raza,Male,Dermatologist,12 years,Weekends,Divisional Hospital Nainativu,,9.60488801633011,79.7730664962182,
Dr. Zain Khan,Male,Neurologist,14 years,Everyday,Kurunegala Teaching Hospital,Kurunegala,,,
Dr. Omar Raza,Male,Orthopedic Surgeon,10 years,Weekends,Makkanigama Hospital,Kundasale,7.34635319318494,80.7056579980613,
Dr. Sara Hussain,Male,Dermatologist,14 years,Weekends,Makkanigama Hospital,Kundasale,7.34635319318494,80.7056579980613,
Dr. Ayesha Hussain,Female,Neurologist,17 years,Mon-Fri,Makkanigama Hospital,Kundasale,7.34635319318494,80.7056579980613,
Dr. Zain Ahmed,Female,Orthopedic Surgeon,8 years,Everyday,Kinniya Hospital,,,,
Dr. Amna Malik,Female,Orthopedic Surgeon,20 years,Everyday,Co-op Hospital,,6.03664871963417,80.2161530925284,no
Dr. Fatima Raza,Male,Cardiologist,7 years,Everyday,Co-op Hospital,,6.03664871963417,80.2161530925284,no
Dr. Ali Malik,Male,Cardiologist,7 years,Everyday,Co-op Hospital,,6.03664871963417,80.2161530925284,no
Dr. Ayesha Ahmed,Female,Cardiologist,20 years,Weekends,Udawalawa Government Hospital,,6.42295898605605,80.8151801358781,
Dr. Ali Sheikh,Female,Pediatrician,17 years,Tue-Thu,Udawalawa Government Hospital,,6.42295898605605,80.8151801358781,
Dr. Ayesha Ahmed,Male,Cardiologist,9 years,Mon-Fri,Udupussellawa Divisional Hospital,,,,yes
Dr. Bilal Sheikh,Male,Neurologist,13 years,Weekends,Vavuniya General Hospital,,,,yes
Dr. Sara Sheikh,Female,Cardiologist,19 years,Everyday,District Hospital- Vakarai,,,,
Dr. Amna Khan,Female,Neurologist,20 years,Weekends,District Hospital- Vakarai,,,,
Dr. Ali Chaudhry,Female,Pediatrician,20 years,Mon-Fri,District General Hospital Chilaw,,,,
Dr. Fatima Ahmed,Male,Dermatologist,8 years,Mon-Fri,District General Hospital Chilaw,,,,
Dr. Sara Ahmed,Female,Cardiologist,9 years,Weekends,District General Hospital Chilaw,,,,
Dr. Ayesha Chaudhry,Male,Dermatologist,10 years,Weekends,Wellatha Rural Hospital,,6.57019935287747,80.0729244722039,
Dr. Bilal Hussain,Female,Dermatologist,13 years,Tue-Thu,Aluthgama Hospital,,,,
Dr. Bilal Chaudhry,Male,Orthopedic Surgeon,18 years,Everyday,Primary Medical Care Unit (PMCU) Kurumpasiddy,,9.77278583497974,80.0636818313935,
Dr. Bilal Ahmed,Female,Cardiologist,18 years,Mon-Fri,Primary Medical Care Unit (PMCU) Kurumpasiddy,,9.77278583497974,80.0636818313935,
Dr. Ali Raza,Male,Dermatologist,7 years,Mon-Fri,Primary Medical Care Unit (PMCU) Kurumpasiddy,,9.77278583497974,80.0636818313935,
Dr. Omar Malik,Female,Orthopedic Surgeon,12 years,Tue-Thu,Co-op Hospital New Bullding,Galle,,,
Dr. Bilal Raza,Female,Pediatrician,5 years,Everyday,Elpitiya Base Hospital,,,,
Dr. Omar Malik,Female,Dermatologist,8 years,Mon-Fri,Ruhunu Hospital,,,,
Dr. Omar Khan,Male,Cardiologist,12 years,Everyday,Ratnam's,,6.92110839978889,79.8568545987306,
Dr. Sara Chaudhry,Male,Cardiologist,17 years,Mon-Fri,saranath,,6.81588022714891,79.9026720931338,
Dr. Amna Hussain,Female,Cardiologist,18 years,Tue-Thu,Balasooriya Hospital,,8.0268131918933,79.8390077666745,
Dr. Ali Hussain,Male,Cardiologist,16 years,Tue-Thu,Homagama Base Hospital,Homagama,6.84690735048827,79.9923650787939,yes
